obsid,uid,ra,dec,snrg,gaia_source_id,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,M_G,d,R,Z,Teff,logg,[Fe/H],source
396302161,G15968638823068,103.6782381,7.8387081,38.55,3157121233980109568,0.2884665896366157,13.827791,12.881085,0.23438454,0.181562600860861,3.4666059638300237,9.014918725757276,-3.1605742339498253,10258.1,3.550446,-1.226706,Vickers et al. (2021)
396302215,G15967361139064,104.57206722,7.01024389,27.6,3153953437902544128,0.7969533296682282,27.453102,10.213318,0.24464893,-0.2795175527498141,1.254778620996916,8.207433801360697,-1.2547563244563666,7616.4,3.130285,-0.961423,Candidates
396303048,G16193649278023,104.7978022,8.5508928,98.81,3157273408964335488,0.3444898340544485,13.814657,11.933965,0.164711,-0.3801529483057173,2.902843280542045,7.607666811529835,-1.8344988240122584,9619.1,3.506924,-0.272213,Vickers et al. (2021)
396303086,G16192311752857,104.35333111,8.85556056,313.32,3157486164464700800,1.3882505155961002,33.518204,10.366207,0.019348145,1.0785462172078013,0.7203310848911232,8.240574436151189,-0.5817116789112935,9644.3,4.033825,-0.544351,Candidates
396303096,G16192354667927,104.429175,9.024015,56.45,3157507334360863360,-0.1036243313292143,-0.75591063,12.850681,0.24748325,,,,,9065.4,3.604715,-0.24028,Candidates
396303144,G16196070580377,105.2833922,9.5073361,185.28,3157912225221451648,0.6581868029835723,22.522581,11.568213,0.147089,0.6599588509823651,1.5193255098202858,8.682045282992368,0.2611837156708884,8931.6,3.70459,-0.326583,Vickers et al. (2021)
396303195,G16196032596385,105.1257328,8.9436564,224.91,3157665011197965184,1.086678872188791,33.45568,11.092404,0.12979126,1.2729101167466208,0.9202350626232364,8.074440828004438,-0.1993500308595041,9065.7,4.000125,-0.492225,Candidates
396303201,L16195991205790,104.9997983,9.3885308,41.96,3157884153313197184,0.2563091130564509,13.562777,13.393856,0.20299149,0.4376762388761612,3.901538997482913,9.929713177725043,-0.5080018360752373,8782.0,3.537385,-0.886225,Candidates
396304039,G16196293913713,105.6415111,9.5523256,56.58,3157816743804446848,0.375301495908364,22.560055,13.0498295,0.29209328,0.9217309773205856,2.6645244181072125,8.797522429350469,1.2983094316691477,9095.8,4.127613,-0.186428,Vickers et al. (2021)
396304099,L16193774860911,105.9366558,8.6389539,229.68,3154617744785045120,0.9343990043812328,29.10442,10.989434,0.15896034,0.8420958351003591,1.070206619775038,7.49246013085991,0.3792895674283852,9234.1,3.725885,-0.369532,Vickers et al. (2021)
396304196,G16195880377262,105.5345733,9.1481422,56.66,3157695385208167424,0.3847924677023888,0.57413894,13.183567,0.14302635,,,,,10250.0,3.95723,-0.77033,Candidates
396304206,G16196269974886,105.9417467,9.5935033,28.65,3157811452404587648,0.1837808467706573,10.474112,13.861237,0.20649529,0.1827382410380522,5.441263426367351,9.146048059807113,3.874235041218423,10871.2,4.017636,-0.158054,New
396304207,G16196182918853,105.98137,9.1522414,77.04,3157650854987696256,0.6092433268046538,27.337702,12.456975,0.13402653,1.380928904730773,1.6413803089888213,7.797419907424196,0.9681263941624486,9869.8,3.836627,-0.678715,Candidates
396304232,G16195448253350,106.3554258,8.9993419,114.31,3154725363783694976,0.6535245977258584,25.147882,12.174825,0.08626652,1.2511346922191215,1.5301642868222716,7.625169540165841,1.1923171954296878,9599.5,3.235293,-0.889497,New
396305096,G16193739512700,105.3013633,7.8047356,215.72,3154153652097336960,0.4457879669712693,16.924501,11.189518,0.06163788,-0.564840292429512,2.2432189159211853,6.4064258908914535,-1.2170248295555128,10441.1,3.278045,-0.411968,Vickers et al. (2021)
396305104,G16193819806554,105.9209103,8.1437989,60.73,3154514154472783360,0.4896292710332013,19.302109,12.678796,0.10110855,1.1281328646030602,2.042361556305303,6.295149270026266,0.2586884519524962,9611.7,3.218124,-0.467556,New
396305108,G16193811818618,105.94087,8.2067106,56.95,3154562872282883968,0.4697242299907292,19.067589,12.932035,0.13446331,1.2912498158178884,2.1289087003660354,6.271615945809896,0.3660786622751867,8381.5,3.634243,-0.577449,Candidates
396305129,G16193923932118,106.0372058,8.0127428,61.04,3154508622554919808,0.4126516854888696,17.87817,12.83713,0.15836334,0.91504811669272,2.4233513036916285,5.841710121214239,0.4131466173167537,10243.6,3.696916,-0.338554,Candidates
396305132,G16193923738196,106.0786356,7.963525,188.01,3154496214391349248,0.3967367113354708,16.585896,11.260533,0.061840057,-0.7469550549428057,2.520563314228878,5.731598766993464,0.466096937986412,9852.9,2.485102,-0.521293,Candidates
396305144,G16194008608693,106.0435258,7.8005297,236.73,3154115581507592064,1.1328904564784172,44.212234,10.99933,0.14615917,1.270269591475234,0.88269787628761,7.32209448334176,0.0722322128751754,9149.2,3.583433,-0.124409,Candidates
396305222,L15967030041078,105.11544,7.8016803,22.71,3154164681572780160,0.2480834772386951,11.172775,13.804354,0.14433861,0.7773432025981819,4.030901256022962,5.505078262428944,-2.7162446994342178,11580.9,4.570256,-0.858766,Candidates
396306135,G16200129565953,108.2182636,8.7121622,45.85,3155919021095954048,0.2371182967657546,8.313035,12.883287,0.047507286,-0.2418876662579379,4.217304247035328,11.304000438750002,2.802128608146726,9673.0,3.032976,-0.664511,New
396306208,G16197986011943,107.829395,8.2117044,51.21,3154389394263858304,0.5713828165389868,20.722305,12.67318,0.09209633,1.4578158775165129,1.750140135570156,8.62647294901459,1.6833249065097102,11390.6,4.682302,-0.251077,Candidates
396307027,G16194108212088,106.591525,7.4004833,171.07,3153855237770675584,0.5877611429854712,22.348083,11.095502,0.0943079,-0.0584936430761189,1.7013714022002282,7.029330387222259,0.6444561618970613,10985.7,4.014023,-0.413178,Vickers et al. (2021)
396307070,G16194040705934,107.3037947,7.2898653,119.34,3153463433672444416,0.4823746417265498,17.25819,11.280964,0.09041691,-0.3021136549168339,2.073077466138619,7.721906481456787,1.7109321060753362,9474.4,2.909037,-0.97836,Vickers et al. (2021)
396308035,G16195481019515,106.7732183,9.011555,169.36,3154713887630909056,0.7201816670897757,23.264109,11.239712,-0.00068092346,0.5269223089816268,1.3885385392285234,7.889904503894471,1.325516270370262,11364.2,3.919438,-0.152463,Candidates
396308105,L16193574152886,106.76453806,8.05105306,263.41,3154334315602474880,0.6463643279982714,28.016218,10.66245,0.16256618,-0.2851630985822435,1.547115081515876,7.173609523646253,1.1444849547991705,10035.9,3.056969,-0.401097,Vickers et al. (2021)
396308117,G16193456714787,106.6638547,8.0923736,153.12,3154337094441147392,0.5884880049009373,25.620079,11.199558,0.31420422,0.0482460754178823,1.6992699794591977,6.974628207422246,1.1730591445406564,8504.3,3.363236,-0.283932,Vickers et al. (2021)
396308184,G16194157798896,106.3312447,7.8890469,141.31,3154305071166646144,0.5235742267544317,2.6191204,11.553386,0.15098667,,,,,10005.3,3.130821,-0.969591,New
396309179,G16194941291602,107.01142528,9.75822222,224.79,3159278303995440128,1.4789667241055329,47.313423,10.093482,-0.0259552,0.9432740136628864,0.6761477345643405,8.247980367693584,0.6568450704686566,10503.0,3.940451,-0.503625,Candidates
396309200,G16194944888365,107.10754306,9.58436222,248.45,3156270315059231360,0.8535120772603139,34.73883,10.586397,0.08899784,0.2424453539696465,1.1716295839771798,8.339971736562763,1.135936874687933,9678.3,3.591459,-0.570676,Candidates
396309233,G16195290167933,106.87708583,9.04377889,359.76,3154736771216614400,0.9381930668493608,36.5066,9.776047,0.0147714615,-0.3624919038436314,1.0658786931331727,8.0407286075386,1.0454240927842182,9547.4,2.163632,0.111607,Vickers et al. (2021)
